Título,Enlace,date,comments
Hacker in Snowflake Extortions May Be a U.S. Soldier,https://krebsonsecurity.com/2024/11/hacker-in-snowflake-extortions-may-be-a-u-s-soldier/,"November 26, 2024",28 Comments
Feds Charge Five Men in ‘Scattered Spider’ Roundup,https://krebsonsecurity.com/2024/11/feds-charge-five-men-in-scattered-spider-roundup/,"November 21, 2024",9 Comments
Fintech Giant Finastra Investigating Data Breach,https://krebsonsecurity.com/2024/11/fintech-giant-finastra-investigating-data-breach/,"November 19, 2024",15 Comments
An Interview With the Target & Home Depot Hacker,https://krebsonsecurity.com/2024/11/an-interview-with-the-target-home-depot-hacker/,"November 14, 2024",21 Comments
"Microsoft Patch Tuesday, November 2024 Edition",https://krebsonsecurity.com/2024/11/microsoft-patch-tuesday-november-2024-edition/,"November 12, 2024",6 Comments
"FBI: Spike in Hacked Police Emails, Fake Subpoenas",https://krebsonsecurity.com/2024/11/fbi-spike-in-hacked-police-emails-fake-subpoenas/,"November 9, 2024",20 Comments
Canadian Man Arrested in Snowflake Data Extortions,https://krebsonsecurity.com/2024/11/canadian-man-arrested-in-snowflake-data-extortions/,"November 5, 2024",22 Comments
Booking.com Phishers May Leave You With Reservations,https://krebsonsecurity.com/2024/11/booking-com-phishers-may-leave-you-with-reservations/,"November 1, 2024",33 Comments
Change Healthcare Breach Hits 100M Americans,https://krebsonsecurity.com/2024/10/change-healthcare-breach-hits-100m-americans/,"October 30, 2024",52 Comments
The Global Surveillance Free-for-All in Mobile Ad Data,https://krebsonsecurity.com/2024/10/the-global-surveillance-free-for-all-in-mobile-ad-data/,"October 23, 2024",71 Comments
